,위도,경도,고도,지형유형,도로거리,토양 pH,전기전도도,y
433,35.546142,127.89488,449.0200806,산림,391.0,5.7,0.2,1
434,35.57797,127.88261,470.4094238,산림,268.0,5.7,0.2,1
435,35.57797,127.88261,470.4094238,산림,268.0,5.7,0.2,1
436,35.602072,127.95621,383.3428345,산림,121.0,5.7,0.2,1
437,35.534699,127.83606,226.1756744,산림,371.0,6.0,0.6,1
438,35.56364,127.86093,369.120697,산림,980.0,6.0,0.6,1
439,35.508805,127.943,442.2634583,산림,206.0,5.8,0.4,1
440,35.586378,128.4055,15.99522018,평지,130.0,5.5,1.0,1
441,35.190804,128.21084,79.83095551,산림,390.0,5.8,0.6,1
442,35.242981,128.19136,15.24625111,평지,188.0,6.0,1.9,1
443,36.798606,127.42572,140.9788818,산림,354.0,5.7,0.2,1
444,36.866823,127.38308,123.8168716,산림,202.0,5.8,0.5,1
445,36.866823,127.38308,123.8168716,산림,202.0,5.8,0.5,1
446,36.754244,127.00273,49.31827927,평지,160.0,6.0,0.8,1
447,36.754244,127.00273,49.31827927,평지,160.0,6.0,0.8,1
448,36.821971,127.03485,80.73453522,산림,482.0,6.1,0.8,1
449,36.821971,127.03485,80.73453522,산림,482.0,6.1,0.8,1
450,36.821971,127.03485,80.73453522,산림,482.0,6.1,0.8,1
451,36.774844,127.35852,146.1194,산림,739.0,6.0,1.6,1
452,36.774844,127.35852,146.1194,산림,739.0,6.0,1.6,1
453,36.764335,127.25392,62.86211014,산림,251.0,6.0,1.2,1
454,36.821972,127.33064,162.8532104,산림,157.0,6.0,3.8,1
455,36.819672,127.26993,104.485733,산림,131.0,6.0,1.2,1
456,36.819672,127.26993,104.485733,산림,131.0,6.0,1.2,1
457,35.136604,127.8253,99.53809357,산림,150.0,6.0,0.5,1
458,35.151623,127.81999,191.394516,산림,294.0,6.0,0.5,1
459,36.803012,127.45083,133.168457,산림,1454.0,5.7,0.2,1
460,36.803012,127.45083,133.168457,산림,1454.0,5.7,0.2,1
461,36.803012,127.45083,133.168457,산림,1454.0,5.7,0.2,1
462,35.111463,128.85443,22.2597847,평지,133.0,6.5,2.5,1
463,35.112899,128.75582,11.27472401,평지,199.0,6.2,1.2,1
464,35.165372,129.08864,165.3900757,산림,408.0,7.4,1.5,1
465,35.184291,127.85954,168.0041656,산림,60.0,5.9,0.9,1
466,35.222018,129.10638,58.72460556,산림,64.0,6.4,0.7,1
467,35.11484,128.98702,173.5533447,산림,357.0,5.8,2.2,1
468,35.11484,128.98702,173.5533447,산림,357.0,5.8,2.2,1
469,35.132013,128.89536,0.0,평지,80.0,6.5,2.5,1
470,35.132013,128.89536,0.0,평지,80.0,6.5,2.5,1
471,35.132013,128.89536,0.0,평지,80.0,6.5,2.5,1
472,35.246934,128.88429,136.0160522,산림,790.0,6.2,1.1,1
473,36.779901,127.39199,167.0274811,산림,557.0,6.0,1.6,1
474,35.111463,128.85443,22.2597847,평지,133.0,6.5,2.5,1
475,35.184291,127.85954,168.0041656,산림,60.0,5.9,0.9,1
476,35.202215,127.82352,193.249527,산림,1136.0,5.9,0.9,1
477,35.245976,127.88676,115.9015045,산림,291.0,5.9,0.9,1
478,35.278512,127.97498,60.82949829,산림,532.0,6.0,0.7,1
479,35.278512,127.97498,60.82949829,산림,532.0,6.0,0.7,1
480,35.323122,127.89805,187.2869263,산림,302.0,6.0,0.7,1
481,35.353016,127.99195,81.9387207,산림,311.0,6.1,0.8,1
482,35.352124,127.94,100.5551834,산림,125.0,6.1,0.8,1
483,35.352124,127.94,100.5551834,산림,125.0,6.1,0.8,1
484,35.345438,127.93945,84.32091522,산림,49.0,6.1,0.8,1
485,35.345438,127.93945,84.32091522,산림,49.0,6.1,0.8,1
486,35.345438,127.93945,84.32091522,산림,49.0,6.1,0.8,1
487,35.147399,128.35494,101.278244,산림,66.0,5.9,0.8,1
